code,item_url,full_name,name
matryx,https://www.feixiaohao.com/currencies/matryx/,Matryx,MTX
humaniq,https://www.feixiaohao.com/currencies/humaniq/,Humaniq,HMQ
bitethereum,https://www.feixiaohao.com/currencies/bitethereum/,必达令,BDT
rise,https://www.feixiaohao.com/currencies/rise/,R币,RISE
internxt,https://www.feixiaohao.com/currencies/internxt/,Internxt,INXT
experty,https://www.feixiaohao.com/currencies/experty/,Experty,EXY
cappasity,https://www.feixiaohao.com/currencies/cappasity/,Cappasity,CAPP
vericoin,https://www.feixiaohao.com/currencies/vericoin/,维理币,VRC
iht-real-estate-protocol,https://www.feixiaohao.com/currencies/iht-real-estate-protocol/,云产币,IHT
erc20,https://www.feixiaohao.com/currencies/erc20/,ERC20,ERC20
cpchain,https://www.feixiaohao.com/currencies/cpchain/,物信链,CPC
lunyr,https://www.feixiaohao.com/currencies/lunyr/,Lunyr,LUN
ink,https://www.feixiaohao.com/currencies/ink/,墨链,INK
consensus,https://www.feixiaohao.com/currencies/consensus/,Consensus,SEN
echolink,https://www.feixiaohao.com/currencies/echolink/,EchoLink,EKO
playkey,https://www.feixiaohao.com/currencies/playkey/,Playkey,PKT
sumokoin,https://www.feixiaohao.com/currencies/sumokoin/,Sumokoin,SUMO
beetle-coin,https://www.feixiaohao.com/currencies/beetle-coin/,Beetle Coin,BEET
powercandy,https://www.feixiaohao.com/currencies/powercandy/,算力糖果,POC
cvcoin,https://www.feixiaohao.com/currencies/cvcoin/,CVCoin,CVN
tvcoin,https://www.feixiaohao.com/currencies/tvcoin/,钛值,TV
etherparty,https://www.feixiaohao.com/currencies/etherparty/,EtherParty,FUEL
enumivo,https://www.feixiaohao.com/currencies/enumivo/,牛油果,ENU
friends,https://www.feixiaohao.com/currencies/friends/,Friendz,FDZ
coinfi,https://www.feixiaohao.com/currencies/coinfi/,CoinFi,COFI
tepleton,https://www.feixiaohao.com/currencies/tepleton/,Tepleton,TEP
aeron,https://www.feixiaohao.com/currencies/aeron/,Aeron,ARN
insurepal,https://www.feixiaohao.com/currencies/insurepal/,VouchForMe,IPL
bitdegree,https://www.feixiaohao.com/currencies/bitdegree/,BitDegree,BDG
zeusshield,https://www.feixiaohao.com/currencies/zeusshield/,Zeusshield,ZSC
luckchain,https://www.feixiaohao.com/currencies/luckchain/,幸运链,BASH
blockcloud,https://www.feixiaohao.com/currencies/blockcloud/,积木云,BLOC
zla,https://www.feixiaohao.com/currencies/zla/,Zilla,ZLA
flowpay,https://www.feixiaohao.com/currencies/flowpay/,流量支付,FP
zccoin,https://www.feixiaohao.com/currencies/zccoin/,招财币,ZCC
capricoin,https://www.feixiaohao.com/currencies/capricoin/,开普币,CPC
dfinity,https://www.feixiaohao.com/currencies/dfinity/,Dfinity,DFN
minereum,https://www.feixiaohao.com/currencies/minereum/,Minereum,MNE
crypto-com-chain,https://www.feixiaohao.com/currencies/crypto-com-chain/,Crypto.com Coin,CRO
ausd,https://www.feixiaohao.com/currencies/ausd/,澳多币,AUSD
hyperion,https://www.feixiaohao.com/currencies/hyperion/,海伯利安,HYN
usdc,https://www.feixiaohao.com/currencies/usdc/,USD Coin,USDC
lifebank,https://www.feixiaohao.com/currencies/lifebank/,生命银行,LBK
aibchain,https://www.feixiaohao.com/currencies/aibchain/,艾币,AIB
xttoken,https://www.feixiaohao.com/currencies/xttoken/,XT Token,XT
hedgetrade,https://www.feixiaohao.com/currencies/hedgetrade/,HedgeTrade,HEDG
compound,https://www.feixiaohao.com/currencies/compound/,Compound,COMP
ino-coin,https://www.feixiaohao.com/currencies/ino-coin/,Ino Coin,INO
globalunioncoin,https://www.feixiaohao.com/currencies/globalunioncoin/,GUCS,GUCS
synthetix-network-token,https://www.feixiaohao.com/currencies/synthetix-network-token/,SNX,SNX
insight-chain,https://www.feixiaohao.com/currencies/insight-chain/,Insight Chain,INB
magicdatacoin,https://www.feixiaohao.com/currencies/magicdatacoin/,魔数,MDC
mindol,https://www.feixiaohao.com/currencies/mindol/,MINDOL,MIN
bandprotocol,https://www.feixiaohao.com/currencies/bandprotocol/,半岛协议,BAND
paxosstandard,https://www.feixiaohao.com/currencies/paxosstandard/,Paxos Standard,PAX
ampleforth,https://www.feixiaohao.com/currencies/ampleforth/,Ampleforth,AMPL
bigbangcore,https://www.feixiaohao.com/currencies/bigbangcore/,BigBang Core,BBC
digitalusd,https://www.feixiaohao.com/currencies/digitalusd/,达美币,DUSD
algorand,https://www.feixiaohao.com/currencies/algorand/,Algorand,ALGO
ubnk,https://www.feixiaohao.com/currencies/ubnk/,优贝币,UBNK
yottacoin,https://www.feixiaohao.com/currencies/yottacoin/,油塔币,YTA
biecologytoken,https://www.feixiaohao.com/currencies/biecologytoken/,Dplatform Token,DPOM
